About,Über,
Accounting Entries,Buchungen,
Accounts Manager,Leitung Buchhaltung,
Accounts User,Buchhaltungsbenutzer,
Amount,Betrag,
Amounts,Beträge,
Cancelled,Storniert,
Closed,Geschlossen,
Company,Unternehmen,
Draft,Entwurf,
Due Date,Fälligkeitsdatum,
Enabled,Aktiviert,
Event Type,Ereignistyp,
Fiscal Year,Geschäftsjahr,
Frappe Support,Frappe Support,
Keyboard Shortcuts,Tastaturkürzel,
Monthly,Monatlich,
Notes,Anmerkungen,
Open,Offen,
Other,Andere,
Payment Mode,Zahlungsweise,
Period End Date,Enddatum des Zeitraums,
Period Start Date,Zeitraum des Startdatums,
Planned,Geplant,
Quarterly,Quartalsweise,
Reason,Grund,
Reference,Referenz,
Reference DocType,Referenz DocType,
Reference Name,Referenzname,
Settled,Erledigt,
Status,Status,
System Health,Systemgesundheit,
System Manager,System-Manager,
