About,Acerca de,
Accounting Entries,Asientos contables,
Accounts Manager,Gerente de Cuentas,
Accounts User,Usuario de Cuentas,
Amount,Importe,
Amounts,Importes,
Cancelled,Cancelado,
Closed,Cerrado,
Company,Compañía,
Enabled,Habilitado,
Event Type,Tipo de Evento,
Fiscal Year,Año fiscal,
Frappe Support,Soporte de Frappe,
Keyboard Shortcuts,Atajos de teclado,
Notes,Notas,
Other,Otro,
Payment Mode,Método de Pago,
Period End Date,Fecha de Finalización del Período,
Period Start Date,Fecha de Inicio del Período,
Planned,Planificado,
Reference DocType,DocType de referencia,
Settled,Colocado,
System Health,Salud del sistema,
