About,درباره,
Accounting Entries,ثبت‌های حسابداری,
Accounts Manager,مدیر حسابداری,
Amount,مبلغ,
Amounts,مبالغ,
Cancelled,لغو شده,
Company,شرکت,
Draft,پیش‌نویس,
Enabled,فعال,
Event Type,نوع رویداد,
Fiscal Year,سال مالی,
Frappe Support,پشتیبانی Frappe,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Monthly,ماهانه,
Notes,یادداشت,
Open,باز,
Other,سایر,
Payment Mode,حالت پرداخت,
Period End Date,تاریخ پایان دوره,
Period Start Date,تاریخ شروع دوره,
Planned,برنامه‌ریزی شده,
Quarterly,فصلی,
Reason,دلیل,
Reference,ارجاع,
Reference DocType,DocType مرجع,
Reference Name,نام مرجع,
Settled,مستقر شده,
Status,وضعیت,
System Health,سلامت سیستم,
System Manager,مدیر سیستم,
