About,O,
Accounting Entries,Knjigovodstveni Unosi,
Accounts Manager,Upravitelj Knjigovodstva,
Accounts User,Korisnik Knjigovodstva,
Amount,Iznos,
Amounts,Iznosi,
Cancelled,Otkazano,
Closed,Zatvoreno,
Company,Tvrtka,
Draft,Nacrt,
Due Date,Krajnji Rok,
Enabled,Omogućeno,
Event Type,Vrsta događaja,
Fiscal Year,Fiskalna Godina,
Frappe Support,Frappe Podrška,
Keyboard Shortcuts,Prečice Tastature,
Monthly,Mjesečno,
Notes,Napomene,
Open,Otvori,
Other,Ostalo,
Payment Mode,Način Uplate,
Period End Date,Datum Završetka Perioda,
Period Start Date,Datum Početka Perioda,
Planned,Planirano,
Quarterly,Tromjesečno,
Reason,Razlog,
Reference,Referenca,
Reference DocType,Referentni DocType,
Reference Name,Referentni Naziv,
Settled,Usaglašeno,
Status,Status,
System Health,Status Sistema,
System Manager,Upravitelj Sistema,
