About,Om,
Accounting Entries,Regnskapsposteringer,
Accounts Manager,Kontoadministrator,
Accounts User,Kontobruker,
Amount,Beløp,
Cancelled,Avbrutt,
Closed,Lukket,
Company,Selskap,
Draft,Utkast,
Due Date,Forfallsdato,
Enabled,Aktivert,
Frappe Support,Frappe-støtte,
Keyboard Shortcuts,Tastatursnarveier,
Monthly,Månedlig,
Open,Åpne,
Quarterly,Kvartalsvis,
Reason,Årsak,
Reference,Referanse,
Reference DocType,Referanse-dokumenttype (DocType),
Reference Name,Referansenavn,
Status,Status,
System Health,Systemhelse,
System Manager,Systemansvarlig,
