About,O,
Accounting Entries,Računovodstveni unosi,
Accounts Manager,Menadžer naloga,
Accounts User,Korisnik naloga,
Amount,Iznos,
Amounts,Iznos,
Cancelled,Otkazano,
Closed,Zatvoreno,
Company,Kompanija,
Draft,Nacrt,
Due Date,Datum dospeća,
Enabled,Omogućeno,
Event Type,Vrsta događaja,
Fiscal Year,Fiskalna godina,
Frappe Support,Frappe podrška,
Keyboard Shortcuts,Prečice na tastaturi,
Monthly,Mesečno,
Notes,Napomene,
Open,Otvoreno,
Other,Ostalo,
Payment Mode,Način plaćanja,
Period End Date,Datum završetka perioda,
Period Start Date,Datum početka perioda,
Planned,Planirano,
Quarterly,Kvartalno,
Reason,Razlog,
Reference,Referenca,
Reference DocType,DocType referenca,
Reference Name,Naziv reference,
Settled,Poravnato,
Status,Status,
System Health,Stanje sistema,
System Manager,Sistem menadžer,
