About,О,
Accounting Entries,Рачуноводствени уноси,
Accounts Manager,Менаџер налога,
Accounts User,Корисник налога,
Amount,Износ,
Amounts,Износ,
Cancelled,Отказано,
Closed,Затворено,
Company,Компанија,
Draft,Нацрт,
Due Date,Датум доспећа,
Enabled,Омогућено,
Event Type,Врста догађаја,
Fiscal Year,Фискална година,
Frappe Support,Frappe подршка,
Keyboard Shortcuts,Пречице на тастатури,
Monthly,Месечно,
Notes,Напомене,
Open,Отворено,
Other,Остало,
Payment Mode,Начин плаћања,
Period End Date,Датум завршетка периода,
Period Start Date,Датум почетка периода,
Planned,Планирано,
Quarterly,Квартално,
Reason,Разлог,
Reference,Референца,
Reference DocType,DocType референца,
Reference Name,Назив референце,
Settled,Поравнато,
Status,Статус,
System Health,Стање система,
System Manager,Систем менаџер,
