About,Om,
Accounting Entries,Bokföring Poster,
Accounts Manager,Bokgöring Ansvarig,
Accounts User,Bokföring Användare,
Amount,Belopp,
Amounts,Belopp,
Cancelled,Annullerad,
Closed,Stängd,
Company,Bolag,
Draft,Utkast,
Due Date,Förfallo Datum,
Enabled,Aktiverad,
Event Type,Händelse Typ,
Fiscal Year,Bokföringsår,
Frappe Support,Frappe Support,
Keyboard Shortcuts,Kort Kommando,
Monthly,Månadsvis,
Notes,Anteckningar,
Open,Öppen,
Other,Annat,
Payment Mode,Betalning Sätt,
Period End Date,Period Slut Datum,
Period Start Date,Period Start Datum,
Planned,Planerad,
Quarterly,Kvartalsvis,
Reason,Anledning,
Reference,Referens,
Reference DocType,Referens DocType,
Reference Name,Referens Namn,
Settled,Avstämd,
Status,Status,
System Health,System Status,
System Manager,System Ansvarig,
