About,เกี่ยวกับ,
Company,บริษัท,
Draft,ร่าง,
Due Date,วันที่ครบกำหนด,
Enabled,เปิดใช้งานแล้ว,
Event Type,ประเภทเหตุการณ์,
Fiscal Year,ปีงบประมาณ,
Frappe Support,การสนับสนุนฟรัปเป้,
Keyboard Shortcuts,ทางลัดแป้นพิมพ์,
Monthly,รายเดือน,
Notes,บันทึก,
Other,อื่นๆ,
Payment Mode,โหมดการชำระเงิน,
Planned,วางแผนแล้ว,
Quarterly,รายไตรมาส,
Reason,เหตุผล,
Reference,อ้างอิง,
Reference DocType,ประเภทเอกสารอ้างอิง,
Reference Name,ชื่ออ้างอิง,
Settled,ตกลงแล้ว,
Status,สถานะ,
System Health,สุขภาพระบบ,
System Manager,ผู้จัดการระบบ,
