About,Hakkında,
Accounting Entries,Muhasebe Girişleri,
Accounts Manager,Hesap Yöneticisi,
Accounts User,Muhasebe Kullanıcısı,
Amount,Tutar,
Amounts,Tutarlar,
Cancelled,İptal edildi,
Company,Şirket,
Draft,Taslak,
Enabled,Etkin,
Event Type,Etkinlik Türü,
Fiscal Year,Mali Yıl,
Frappe Support,Frappe Desteği,
Keyboard Shortcuts,Klavye Kısayolları,
Monthly,Aylık,
Notes,Notlar,
Open,Açık,
Other,Diğer,
Payment Mode,Ödeme Yöntemi,
Period End Date,Dönem Sonu Tarihi,
Period Start Date,Dönem Başlangıç Tarihi,
Planned,Planlı,
Quarterly,3 ayda bir,
Reason,Nedeni,
Reference,Referans,
Reference DocType,Referans DocType,
Reference Name,Referans Adı,
Settled,Uzlaşıldı,
Status,Durum,
System Health,Sistem Sağlığı,
System Manager,Sistem Yöneticisi,
