About,关于,
Accounting Entries,会计分录,
Accounts Manager,会计经理,
Accounts User,会计,
Actions,操作,
Amount,金额,
Amounts,金额列表,
Cancelled,已取消,
Closed,已关闭,
Company,公司,
Draft,草稿,
Due Date,到期日,
Enabled,已启用,
Event Type,事件类型,
Fiscal Year,财年,
Frappe Support,Frappe支持,
Keyboard Shortcuts,键盘快捷键,
Monthly,每月,
Notes,备注,
Open,待处理,
Other,其他,
Payment Mode,付款方式,
Period End Date,期末结束日期,
Period Start Date,期间开始日期,
Planned,计划,
Quarterly,每季,
Reason,原因,
Reference,参考,
Reference DocType,参考文档类型,
Reference Name,源单据,
Settled,已结清,
Status,状态,
System Health,系统健康状态,
System Manager,系统管理员,
scheduled,已计划,
